drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
insulins,primary: t-3..t-1,FE only,True,0.9725522234668644,0.9199281399155447,1.028186644510274,0.32678364430422013,2335,
insulins,primary: t-3..t-1,FE + time-varying,True,0.9788285419765949,0.9265490557194291,1.0340578393273472,0.4448016039180127,2335,0.6672024058770191
insulins,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9747787075736637,0.9131287762143704,1.0405909368865518,0.44347322434572944,2335,
insulins,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9810090500584259,0.9220970286619912,1.0436849120889096,0.5439796367278897,1751,
insulins,primary: t-3..t-1,FE + time-varying + asylum support,True,0.982078019068962,0.9260904356144959,1.0414503794097056,0.545939289408792,1926,
fluoroquinolones,primary: t-3..t-1,FE only,True,0.9973815315375946,0.9778584561556006,1.0172943877411091,0.7948975814235534,2335,
fluoroquinolones,primary: t-3..t-1,FE + time-varying,True,0.9991962314865179,0.9806042272090016,1.0181407353897385,0.9331279301632946,2335,0.9619042606821167
fluoroquinolones,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9993918626758067,0.9805782553233451,1.0185664323682868,0.9499748333676833,2335,
fluoroquinolones,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9968840826581065,0.9778594507438338,1.0162788461073335,0.7509048535714234,1751,
fluoroquinolones,primary: t-3..t-1,FE + time-varying + asylum support,True,1.0014277974622265,0.9815779321299181,1.021679074787219,0.8889127032875402,1926,
all_antibacterials,primary: t-3..t-1,FE only,True,0.9790098099761451,0.9394874314753985,1.0201948167889099,0.3129676448580129,2335,
all_antibacterials,primary: t-3..t-1,FE + time-varying,True,0.9832088170278354,0.9467788705812413,1.021040506837467,0.3793630391498276,2335,0.6503366385425615
all_antibacterials,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.9783326890129159,0.940436468933641,1.0177559909778235,0.2771253694522625,2335,
all_antibacterials,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9813672250692285,0.9430197724309144,1.0212740587161262,0.35503448101310486,1751,
all_antibacterials,primary: t-3..t-1,FE + time-varying + asylum support,True,0.985028429263348,0.9468384741163379,1.0247587450040612,0.4546317485275351,1926,
vitamin_d,primary: t-3..t-1,FE only,True,1.005392501857737,0.9821003013832886,1.0292371169910322,0.6529265408194119,2335,
vitamin_d,primary: t-3..t-1,FE + time-varying,True,1.0029643943779392,0.9789603876613213,1.0275569768384927,0.8107196860526513,2335,0.9619042606821167
vitamin_d,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0045793985390494,0.9795529232365825,1.030245272133541,0.7226131283601213,2335,
vitamin_d,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0102900211305297,0.9858976048731528,1.0352859381652006,0.41164715516657036,1751,
vitamin_d,primary: t-3..t-1,FE + time-varying + asylum support,True,1.0064405196286732,0.9804237777404177,1.0331476475253547,0.6309118072106918,1926,
levothyroxine,primary: t-3..t-1,FE only,True,0.9617461858664342,0.928137879632122,0.9965714645708142,0.031615031605419,2335,
