utla,year,tb_count
E06000058,2017,18
E06000058,2018,16
E06000058,2019,20
E06000058,2020,14
E06000058,2021,12
E06000058,2022,10
E06000058,2023,12
E06000058,2024,21
E06000059,2001,13
E06000059,2002,7
E06000059,2003,11
E06000059,2004,12
E06000059,2005,14
E06000059,2006,15
E06000059,2007,12
E06000059,2008,8
E06000059,2009,20
E06000059,2010,9
E06000059,2011,8
E06000059,2012,10
E06000059,2013,11
E06000059,2014,13
E06000059,2015,5
E06000059,2016,7
E06000059,2017,10
E06000059,2018,6
E06000059,2019,6
E06000059,2020,2
E06000059,2021,2
E06000059,2022,5
E06000059,2023,5
E06000059,2024,8
E06000060,2001,38
E06000060,2002,50
E06000060,2003,47
E06000060,2004,32
E06000060,2005,40
E06000060,2006,41
E06000060,2007,37
E06000060,2008,34
E06000060,2009,30
E06000060,2010,48
E06000060,2011,52
E06000060,2012,54
E06000060,2013,44
E06000060,2014,39
E06000060,2015,42
E06000060,2016,53
E06000060,2017,43
E06000060,2018,48
E06000060,2019,47
E06000060,2020,35
E06000060,2021,28
E06000060,2022,30
E06000060,2023,39
E06000060,2024,43
E06000061,2001,22
E06000061,2002,27
E06000061,2003,15
E06000061,2004,17
E06000061,2005,27
E06000061,2006,23
E06000061,2007,17
E06000061,2008,27
E06000061,2009,30
E06000061,2010,29
E06000061,2011,28
E06000061,2012,22
E06000061,2013,15
E06000061,2014,16
E06000061,2015,17
E06000061,2016,18
E06000061,2017,19
E06000061,2018,20
E06000061,2019,14
E06000061,2020,10
E06000061,2021,18
E06000061,2022,23
E06000061,2023,21
E06000061,2024,21
E06000062,2001,45
E06000062,2002,55
E06000062,2003,41
E06000062,2004,58
E06000062,2005,52
E06000062,2006,46
E06000062,2007,49
E06000062,2008,37
E06000062,2009,49
E06000062,2010,39
E06000062,2011,37
E06000062,2012,58
E06000062,2013,31
E06000062,2014,31
E06000062,2015,31
E06000062,2016,32
E06000062,2017,19
E06000062,2018,35
E06000062,2019,39
E06000062,2020,24
E06000062,2021,27
E06000062,2022,24
E06000062,2023,22
E06000062,2024,37
E06000063,2001,4
