scenario,seed,log_irr_10pct,p,rejected_two_sided,detected_correct_direction
IRR 1.05 per 10%,5180,0.04794512283521345,0.0038543803815855844,True,True
IRR 1.05 per 10%,5181,0.05360677342080795,9.740226457990523e-05,True,True
IRR 1.05 per 10%,5182,0.017437827673687168,0.262572114623589,False,False
IRR 1.05 per 10%,5183,0.08070184599127994,9.708934415907383e-07,True,True
IRR 1.05 per 10%,5184,0.05151072779002006,0.007852317316459936,True,True
IRR 1.05 per 10%,5185,0.04469298626152993,0.017406391874109785,True,True
IRR 1.05 per 10%,5186,0.06027193532607332,0.0003460449997209189,True,True
IRR 1.05 per 10%,5187,0.06378461366214479,2.2557817752468694e-05,True,True
IRR 1.05 per 10%,5188,0.023283288368936828,0.130476009420471,False,False
IRR 1.05 per 10%,5190,0.0674266866181734,3.199941361374769e-07,True,True
IRR 1.05 per 10%,5189,0.054367140555729054,0.0009400882050945796,True,True
IRR 1.05 per 10%,5192,0.07735599810600831,2.3692125154865126e-05,True,True
IRR 1.05 per 10%,5191,0.06874407614308345,5.810478303867854e-07,True,True
IRR 1.05 per 10%,5194,0.06731417417910603,1.69900363542642e-06,True,True
IRR 1.05 per 10%,5193,0.07049191285852847,4.694744016281094e-07,True,True
IRR 1.05 per 10%,5195,0.08045881068522838,5.755690028683989e-08,True,True
IRR 1.05 per 10%,5196,0.061772008696394105,0.0012885630190440367,True,True
IRR 1.05 per 10%,5197,0.05224719490956318,0.0012348384242049247,True,True
IRR 1.05 per 10%,5198,0.05296256659049245,0.006098997032525163,True,True
IRR 1.05 per 10%,5199,0.012305509713798636,0.4873141432481626,False,False
IRR 1.05 per 10%,5200,0.02385610675219802,0.23891945584463437,False,False
IRR 1.05 per 10%,5201,0.0632016920146233,3.552842077143704e-06,True,True
IRR 1.05 per 10%,5202,0.06783127512717248,6.141733484576414e-06,True,True
IRR 1.05 per 10%,5203,0.07860670496158882,1.9543683431627974e-05,True,True
IRR 1.05 per 10%,5204,0.04782020908002697,0.0060346108280180735,True,True
IRR 1.05 per 10%,5205,0.017154211918408453,0.30472846517975916,False,False
IRR 1.05 per 10%,5206,0.05349144361262753,0.0019196042057615787,True,True
IRR 1.05 per 10%,5207,0.040527234217745504,0.03670406344261315,True,True
IRR 1.05 per 10%,5208,0.08984169020791151,2.843162215780763e-09,True,True
IRR 1.05 per 10%,5209,0.051818061213642616,0.0030329660265180046,True,True
IRR 1.05 per 10%,5210,0.02024202385278824,0.1382314981524838,False,False
IRR 1.05 per 10%,5211,0.04553502431439917,0.003799811364202864,True,True
IRR 1.05 per 10%,5212,0.00920449250462023,0.6103079558243776,False,False
IRR 1.05 per 10%,5213,0.08759032276024939,6.061085806937478e-08,True,True
IRR 1.05 per 10%,5214,0.05286745906026591,0.0020660545616624877,True,True
IRR 1.05 per 10%,5215,0.030890383590458117,0.16631077351730605,False,False
IRR 1.05 per 10%,5216,0.04540858188724042,0.00047637510639391426,True,True
IRR 1.05 per 10%,5217,0.04210605322549199,0.009026686438513475,True,True
IRR 1.05 per 10%,5218,0.06769402855340012,1.5104942787041813e-05,True,True
IRR 1.05 per 10%,5219,0.05523645303465795,0.00029216671111795213,True,True
IRR 1.05 per 10%,5220,0.05733591467233368,4.063479548806342e-05,True,True
IRR 1.05 per 10%,5221,0.06036211944759849,0.0010107057386089758,True,True
IRR 1.05 per 10%,5222,0.05417250569992334,0.0039955794395882555,True,True
IRR 1.05 per 10%,5223,0.05617186976792876,0.001162917861784703,True,True
