drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
oral_hydrocortisone,+ asylum support (t-1),exposure_lag1,0.9917866718400864,0.9768273937878789,1.0069750384715725,1.0045184562241316,0.007754116728915909,0.2875119986437483,1394,150,2015-2024,,4.518456224131602
oral_hydrocortisone,exclude COVID years (t-1),exposure_lag1,0.9991575512833495,0.9816061934492266,1.0170227316706277,1.0141301461335435,0.009041975655352585,0.9257366224840919,1207,151,2014-2024,,14.13014613354345
oral_dexamethasone,primary (t-1),exposure_lag1,1.0054549497409686,0.9933649050816211,1.0176921399045686,1.0157154509621877,0.006172107349793269,0.3780987303725998,1660,151,2014-2024,0.9001498462985842,15.715450962187724
oral_dexamethasone,FE only (t-1),exposure_lag1,1.0082944541364065,0.9943560579411164,1.0224282319426854,1.0201434421073057,0.007102129322596515,0.24480277991533828,1661,151,2014-2024,,20.143442107305656
oral_dexamethasone,"distributed lag (t, t-1, t-2)",exposure,1.0025600598049327,0.9920721399892922,1.0131588550878152,1.0114479512257448,0.0053654290876913695,0.6336967720098585,1660,151,2014-2024,,11.447951225744815
oral_dexamethasone,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0037240684373212,0.9926482898670625,1.0149234284131894,1.013115139790697,0.0056612338767917415,0.5114398417779882,1660,151,2014-2024,,13.115139790696992
oral_dexamethasone,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0016172186117238,0.9902392554553389,1.0131259158759265,1.0112674248612668,0.005828880202190724,0.7816072116560621,1660,151,2014-2024,,11.267424861266742
oral_dexamethasone,"lag and lead (t-1, t+1)",exposure_lag1,1.0045637314702187,0.9922774495784016,1.0170021408973229,1.0149927733267057,0.006278506607666776,0.46831212566341807,1509,151,2014-2023,,14.992773326705663
oral_dexamethasone,"lag and lead (t-1, t+1)",exposure_lag-1,1.0021562321221884,0.9907777390806932,1.013665400388599,1.011806837706903,0.005826000015689678,0.7116010966565013,1509,151,2014-2023,,11.806837706902927
oral_dexamethasone,prior 3 years (t-3..t-1),exposure_prior3,1.0112979666959658,0.9938418012534045,1.029060737990257,1.0261851070428967,0.008883602040814037,0.2059978698253897,1660,151,2014-2024,,26.185107042896643
oral_dexamethasone,+ area trends (t-1),exposure_lag1,0.9971439416695288,0.9858430731732895,1.0085743537333447,1.0067285252691054,0.005815279283285854,0.6228376012626601,1660,151,2014-2024,,6.7285252691053845
oral_dexamethasone,population covariate (t-1),exposure_lag1,1.0055970552785871,0.9935734694306058,1.0177661428142561,1.0158005110395585,0.006137101829056656,0.3631072478593601,1660,151,2014-2024,,15.80051103955847
oral_dexamethasone,+ LTBI programme (t-1),exposure_lag1,1.0059037523347496,0.9936886765618341,1.018268983865356,1.0162715115659633,0.006233529344323188,0.3450104883990597,1660,151,2014-2024,,16.27151156596328
oral_dexamethasone,+ asylum support (t-1),exposure_lag1,1.0053857350947912,0.9933244248192551,1.0175934982329853,1.0156215858658357,0.006157775704595607,0.3830574794649342,1394,150,2015-2024,,15.621585865835716
oral_dexamethasone,exclude COVID years (t-1),exposure_lag1,1.0100869265950236,0.996941900167511,1.0234052747775462,1.0212530425572584,0.006683254316411081,0.13316880196068714,1207,151,2014-2024,,21.253042557258333
