outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, UK born",pred_mg_per_resident,FE + migration + age,1,90,2015-2024,1.2534114573275217,0.9716693494459226,1.6168465973077777,0.07500642126367228,1.173-1.401,lagged exposure
"TB, UK born",pred_mg_per_resident,FE only,2,81,2016-2024,1.348564872083904,1.0583866785823877,1.7183013080385345,0.021609185532482,1.288-1.483,lagged exposure
"TB, UK born",pred_mg_per_resident,FE + migration + age,2,81,2016-2024,1.3684747821341805,1.082161328449024,1.730539781920704,0.01507815050940741,1.302-1.536,lagged exposure
"TB, UK born",pred_mg_per_resident,FE only,3,72,2017-2024,1.3053506621096436,0.9531311513175624,1.7877291584842656,0.08645540800877667,1.224-1.473,lagged exposure
"TB, UK born",pred_mg_per_resident,FE + migration + age,3,72,2017-2024,1.3775981051727555,1.0354516024254383,1.832800813606566,0.03224384469136248,1.159-1.461,lagged exposure
"TB, UK born",pred_mg_per_resident,FE only,1,72,2015-2024,1.3355593324410568,1.025612194705864,1.7391746506894403,0.03542848713944951,1.280-1.489,"lagged, excluding 2020-21"
"TB, UK born",pred_mg_per_resident,FE + migration + age,1,72,2015-2024,1.3071360538717958,0.9583880869006564,1.7827899644047214,0.08174927754519885,1.185-1.519,"lagged, excluding 2020-21"
"TB, UK born",pred_mg_per_resident,FE only,2,63,2016-2024,1.3711446073437916,1.0955499835511255,1.7160673291728687,0.011809704421473801,1.329-1.504,"lagged, excluding 2020-21"
"TB, UK born",pred_mg_per_resident,FE + migration + age,2,63,2016-2024,1.3836074628816242,1.0698052960790418,1.7894560985612127,0.019560745957694428,1.271-1.579,"lagged, excluding 2020-21"
"TB, UK born",pred_mg_per_resident,FE only,3,54,2017-2024,1.289776090888212,0.9278605934933611,1.792858082660647,0.11264934143198901,1.204-1.452,"lagged, excluding 2020-21"
"TB, UK born",pred_mg_per_resident,FE + migration + age,3,54,2017-2024,1.3523126394883138,1.0112881741646749,1.808336655800805,0.04350949598647621,1.072-1.431,"lagged, excluding 2020-21"
"TB, UK born",pred_mg_per_resident,FE only,-1,99,2013-2023,1.1752072353708736,0.8713159540112771,1.585087521592858,0.24860397467595952,1.099-1.318,lead (falsification)
"TB, UK born",pred_mg_per_resident,FE + migration + age,-1,99,2013-2023,1.181032238079285,0.8535682187392271,1.6341249788362853,0.2712887534607782,1.052-1.296,lead (falsification)
"TB, UK born",pred_mg_per_resident,FE only,-2,99,2012-2022,0.9665060122652451,0.7679683788378561,1.2163702275847128,0.7414098436910802,0.919-1.048,lead (falsification)
"TB, UK born",pred_mg_per_resident,FE + migration + age,-2,99,2012-2022,0.9561867217006569,0.7315382423003143,1.2498226256520297,0.7097146823465595,0.882-1.028,lead (falsification)
"TB, UK born",pred_mg_per_resident,FE only,-3,90,2012-2021,0.9333583123233042,0.8503661414084431,1.0244501712405047,0.1260509386921574,0.899-0.961,lead (falsification)
"TB, UK born",pred_mg_per_resident,FE + migration + age,-3,90,2012-2021,0.9458876347208154,0.8584462703015056,1.042235779303344,0.22254285369355328,0.918-0.965,lead (falsification)
"TB, UK born",rate_levothyroxine,FE only,1,90,2015-2024,0.935308303705434,0.8018154369817279,1.0910261671605506,0.3459269848400474,0.891-1.292,lagged exposure
"TB, UK born",rate_levothyroxine,FE + migration + age,1,90,2015-2024,0.9729725104350241,0.8161797677291567,1.1598860244920706,0.7284787435968839,0.931-1.452,lagged exposure
"TB, UK born",rate_levothyroxine,FE only,2,81,2016-2024,0.9418522005840063,0.8225275426250168,1.0784873718804453,0.33767932923334465,0.900-1.151,lagged exposure
"TB, UK born",rate_levothyroxine,FE + migration + age,2,81,2016-2024,0.9737598682085619,0.8340936782720626,1.1368126933870268,0.7024129649625698,0.931-1.249,lagged exposure
"TB, UK born",rate_levothyroxine,FE only,3,72,2017-2024,1.0061124456273243,0.866249164223517,1.1685578411536601,0.9275091055741974,0.966-1.197,lagged exposure
